time	count
0.00	0.00
4527500.57	0.00
4527621.08	0.00
4527668.75	0.10
4528455.50	0.10
4528586.71	0.10
4528634.02	0.19
6202656.06	0.19
6202696.51	0.19
6202712.60	0.19
6202729.10	0.18
6202745.62	0.09
6202761.54	0.00
