level	level_ready	ready	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
4	7	2474919.303	2474972.95	2475008.908	#ff8c00	1.0	Deferred Enqueue Task	1					2586
4	6	2475007.55	2475033.203	2475104.788	#ca00ff	1.0	Scheduler	0					2588
4	7	2475102.341	2475111.622	2475221.459	#00fcff	1.0	Task Physical Dependence Analysis	1					20088
4	7	2475226.512	2475226.512	2475231.218	#FFC0CB	1.0	ProfTask <1>						23874
4	7	2475687.557	2475700.912	2475799.67	#ff2300	1.0	Logical Dependence Analysis	3					2589
4	6	2475797.429	2475809.86	2475902.934	#333399	1.0	Deferred Ready Trigger	3					2590
4	6	2475653.445	2475912.369	2475917.727	#ff4a00	1.0	Prepipeline Stage	3					2591
4	7	2475922.057	2475922.057	2476228.586	#ff0800	1.0	Operation Physical Dependence Analysis	3					20089
4	7	2476228.586	2476228.586	2476247.07	#ff0800	0.15	Operation Physical Dependence Analysis (waiting)	3					20089
4	7	2476247.07	2476247.07	2476266.311	#ff0800	0.45	Operation Physical Dependence Analysis (ready)	3					20089
4	7	2476266.311	2476266.311	2476515.691	#ff0800	1.0	Operation Physical Dependence Analysis	3					20089
3	6	2475965.259	2475965.259	2476356.558	#5500ff	1.0	Mapper Call map_inline for 3	3					23870
4	7	2476521.822	2476521.822	2476530.783	#FFC0CB	1.0	ProfTask <3>						23876
4	7	2476612.742	2476620.522	2476625.115	#ff4a00	1.0	Prepipeline Stage	4					2592
4	7	2476622.595	2476632.902	2476642.363	#ff2300	1.0	Logical Dependence Analysis	4					2593
4	6	2476641.594	2476647.052	2476663.493	#333399	1.0	Deferred Ready Trigger	4					2594
4	7	2476668.557	2476668.557	2476715.356	#ff0800	1.0	Operation Physical Dependence Analysis	4					20090
4	7	2476715.356	2476715.356	2476731.878	#ff0800	0.15	Operation Physical Dependence Analysis (waiting)	4					20090
4	7	2476731.878	2476731.878	2476735.321	#ff0800	0.45	Operation Physical Dependence Analysis (ready)	4					20090
4	7	2476735.321	2476735.321	2476771.521	#ff0800	1.0	Operation Physical Dependence Analysis	4					20090
4	7	2476777.325	2476777.325	2476778.752	#FFC0CB	1.0	ProfTask <4>						23878
4	7	2578312.71	2578359.811	2578371.692	#ff2300	1.0	Logical Dependence Analysis	5					2595
4	7	2578369.381	2578378.506	2578381.346	#333399	1.0	Deferred Ready Trigger	5					2596
4	6	2578381.047	2578388.984	2578454.477	#ff0800	1.0	Operation Physical Dependence Analysis	5					2597
4	6	2578447.178	2578458.405	2578463.4	#5200ff	1.0	Tighten Index Space	5					2598
4	6	2578447.436	2578465.446	2578465.9	#5200ff	1.0	Tighten Index Space	5					2599
4	7	2578427.019	2578467.666	2578522.402	#ff2300	1.0	Logical Dependence Analysis	6					2600
4	7	2578507.538	2578551.84	2578556.202	#333399	1.0	Deferred Ready Trigger	6					2601
4	6	2578555.849	2578581.204	2578810.633	#ff0800	1.0	Operation Physical Dependence Analysis	6					2602
4	7	2578807.76	2578819.908	2578823.357	#333399	1.0	Deferred Ready Trigger	7					2603
4	6	2578823.062	2578828.317	2578915.154	#ff0800	1.0	Operation Physical Dependence Analysis	7					2604
4	7	2578424.309	2578921.609	2578922.663	#ff4a00	1.0	Prepipeline Stage	6					2605
4	7	2584415.167	2584471.526	2584482.663	#5200ff	1.0	Tighten Index Space	6					2606
4	7	2584415.296	2584494.571	2584495.718	#5200ff	1.0	Tighten Index Space	6					2607
4	7	2584414.75	2584498.458	2584508.325	#990000	1.0	Deferred Execute	6					20091
4	7	2584513.497	2584513.497	2584514.696	#FFC0CB	1.0	ProfTask <6>						23880
4	7	2594914.932	2594914.932	2594939.418	#ff7a00	1.0	Disjointness Test	1					20093
4	7	2594939.418	2594939.418	2595173.515	#ff7a00	0.15	Disjointness Test (waiting)	1					20093
4	7	2595173.515	2595173.515	2595175.405	#ff7a00	0.45	Disjointness Test (ready)	1					20093
4	7	2595175.405	2595175.405	2595177.27	#ff7a00	1.0	Disjointness Test	1					20093
3	6	2594846.875	2594946.98	2594991.014	#5200ff	1.0	Tighten Index Space	7					2608
3	5	2594847.015	2595001.481	2595016.334	#5200ff	1.0	Tighten Index Space	7					2609
3	4	2595021.369	2595021.369	2595067.086	#00ff4e	1.0	Index Space Independence Test	1					2611
