level	level_ready	ready	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
5			4528172.878	4528350.981	#00fff6	1.0	Copy size=194952	1419					23623
4			4528271.769	4528414.803	#00fff6	1.0	Copy size=779808	1419					23624
5			4528997.049	4529082.472	#00fff6	1.0	Copy size=194960	1418					23625
4			4529072.79	4529154.243	#00fff6	1.0	Copy size=779840	1418					23626
5			4529435.303	4532915.077	#00fff6	1.0	Copy size=375968	1418					23628
4			4532516.569	4532883.361	#00fff6	1.0	Copy size=779808	1419					23627
3			4532519.894	4534337.112	#00fff6	1.0	Copy size=27904	1419					23629
2			4532526.025	4535095.599	#00fff6	1.0	Copy size=751936	1418					23630
5			4532944.566	4555669.915	#00fff6	1.0	Copy size=8682904	1419					7479
4			4534407.409	4563370.693	#00fff6	1.0	Copy size=8083312	1418					23633
3			4534410.226	4565511.657	#00fff6	1.0	Copy size=403856	1419					23634
2			4536305.685	4537011.668	#00fff6	1.0	Copy size=3119232	1419					23631
2			4540925.109	4548434.538	#00fff6	1.0	Copy size=111616	1419					7478
1			4540939.058	4552817.271	#00fff6	1.0	Copy size=3007744	1418					23632
5			4662466.51	4662951.202	#00fff6	1.0	Copy size=779840	1444					23640
4			4662510.793	4703826.185	#00fff6	1.0	Copy size=697248	1445					7482
3			4662905.823	4667842.021	#00fff6	1.0	Copy size=82560	1444					23642
5			4666757.06	4667191.396	#00fff6	1.0	Copy size=3119360	1444					23641
5			4670950.139	4688401.747	#00fff6	1.0	Copy size=2788992	1445					23643
3			4670963.752	4703100.213	#00fff6	1.0	Copy size=330240	1444					7481
5			4773560.891	4773690.243	#00fff6	1.0	Copy size=779840	1470					23646
5			4774238.101	4779540.04	#00fff6	1.0	Copy size=82560	1470					23648
4			4774273.302	4800315.503	#00fff6	1.0	Copy size=697248	1471					23650
3			4778842.857	4779223.79	#00fff6	1.0	Copy size=3119360	1470					23647
5			4783010.629	4800525.625	#00fff6	1.0	Copy size=330240	1470					23651
3			4784306.35	4822328.079	#00fff6	1.0	Copy size=2788992	1471					23652
5			4872379.935	4872508.151	#00fff6	1.0	Copy size=779840	1496					23655
5			4873144.537	4883093.682	#00fff6	1.0	Copy size=82560	1496					7485
4			4873155.773	4878195.457	#00fff6	1.0	Copy size=697248	1497					23656
3			4877824.268	4878464.305	#00fff6	1.0	Copy size=3119360	1496					23657
4			4882332.6	4900656.983	#00fff6	1.0	Copy size=330240	1496					7486
3			4882350.876	4924151.963	#00fff6	1.0	Copy size=2788992	1497					23659
5			4967211.24	4967339.422	#00fff6	1.0	Copy size=779840	1527					23662
5			4967928.184	4973394.534	#00fff6	1.0	Copy size=82560	1527					23664
4			4967941.688	4985962.612	#00fff6	1.0	Copy size=697248	1528					23665
3			4972634.712	4973092.592	#00fff6	1.0	Copy size=3119360	1527					23663
5			4977340.094	4997689.431	#00fff6	1.0	Copy size=330240	1527					7489
3			4984199.076	5024241.163	#00fff6	1.0	Copy size=2788992	1528					23666
5			5066759.916	5066887.337	#00fff6	1.0	Copy size=779840	1553					23670
5			5067483.164	5073093.9	#00fff6	1.0	Copy size=82560	1553					23672
4			5067497.245	5092715.469	#00fff6	1.0	Copy size=697248	1554					7491
3			5072472.549	5072893.891	#00fff6	1.0	Copy size=3119360	1553					23671
5			5076984.849	5107978.045	#00fff6	1.0	Copy size=330240	1553					23674
3			5077322.531	5094979.538	#00fff6	1.0	Copy size=2788992	1554					23673
5			5172285.693	5172371.321	#00fff6	1.0	Copy size=779840	1579					23678
5			5173008.03	5179583.287	#00fff6	1.0	Copy size=82560	1579					23680
4			5173021.289	5229978.746	#00fff6	1.0	Copy size=697248	1580					7494
3			5178123.284	5178671.423	#00fff6	1.0	Copy size=3119360	1579					23679
5			5183145.636	5202129.244	#00fff6	1.0	Copy size=330240	1579					23681
3			5183158.064	5229677.484	#00fff6	1.0	Copy size=2788992	1580					7493
5			5276180.189	5276310.536	#00fff6	1.0	Copy size=779840	1605					23685
5			5276873.228	5288072.72	#00fff6	1.0	Copy size=82560	1605					7495
4			5276908.052	5283140.315	#00fff6	1.0	Copy size=697248	1606					23686
3			5281758.684	5283723.319	#00fff6	1.0	Copy size=3119360	1605					23687
4			5286378.122	5304498.958	#00fff6	1.0	Copy size=330240	1605					23689
3			5286879.628	5324623.986	#00fff6	1.0	Copy size=2788992	1606					23690
5			5379681.187	5379810.657	#00fff6	1.0	Copy size=779840	1636					23693
5			5380402.169	5386116.854	#00fff6	1.0	Copy size=82560	1636					23694
4			5380415.641	5403951.734	#00fff6	1.0	Copy size=697248	1637					23696
3			5386022.819	5386790.654	#00fff6	1.0	Copy size=3119360	1636					23695
5			5390907.833	5408074.283	#00fff6	1.0	Copy size=330240	1636					23697
3			5403637.046	5427496.023	#00fff6	1.0	Copy size=2788992	1637					23698
5			5467107.837	5467234.858	#00fff6	1.0	Copy size=779840	1662					23702
5			5467822.348	5474057.445	#00fff6	1.0	Copy size=82560	1662					23703
4			5467840.182	5478418.416	#00fff6	1.0	Copy size=697248	1663					7498
3			5473182.049	5474764.826	#00fff6	1.0	Copy size=3119360	1662					23704
5			5477371.293	5494167.059	#00fff6	1.0	Copy size=330240	1662					23705
3			5478416.824	5519108.526	#00fff6	1.0	Copy size=2788992	1663					23706
5			5571053.527	5571182.483	#00fff6	1.0	Copy size=779840	1688					23710
5			5571766.762	5578209.65	#00fff6	1.0	Copy size=82560	1688					23711
4			5571800.441	5589939.373	#00fff6	1.0	Copy size=697248	1689					23713
3			5577868.253	5578828.686	#00fff6	1.0	Copy size=3119360	1688					23712
5			5582144.854	5597876.246	#00fff6	1.0	Copy size=330240	1688					23715
3			5589475.076	5618491.549	#00fff6	1.0	Copy size=2788992	1689					23716
5			5668287.171	5668413.888	#00fff6	1.0	Copy size=779840	1714					23720
5			5668975.498	5675033.601	#00fff6	1.0	Copy size=82560	1714					23722
4			5668990.136	5696958.054	#00fff6	1.0	Copy size=697248	1715					23725
3			5673812.1	5674990.021	#00fff6	1.0	Copy size=3119360	1714					23721
5			5678808.072	5710671.131	#00fff6	1.0	Copy size=330240	1714					7500
3			5678822.086	5696890.744	#00fff6	1.0	Copy size=2788992	1715					23724
5			5788600.307	5788729.926	#00fff6	1.0	Copy size=779840	1745					23728
5			5789317.004	5795053.721	#00fff6	1.0	Copy size=82560	1745					23730
4			5789330.229	5801488.891	#00fff6	1.0	Copy size=697248	1746					23731
3			5794442.991	5795009.78	#00fff6	1.0	Copy size=3119360	1745					23729
5			5798760.895	5828470.633	#00fff6	1.0	Copy size=330240	1745					23732
3			5798813.075	5815783.06	#00fff6	1.0	Copy size=2788992	1746					7503
5			5891360.861	5891490.412	#00fff6	1.0	Copy size=779840	1771					23735
5			5892082.559	5898857.062	#00fff6	1.0	Copy size=82560	1771					23737
4			5892096.306	5919384.133	#00fff6	1.0	Copy size=697248	1772					23740
3			5896922.484	5898522.004	#00fff6	1.0	Copy size=3119360	1771					23736
5			5901588.624	5933408.354	#00fff6	1.0	Copy size=330240	1771					23741
3			5901658.851	5919247.798	#00fff6	1.0	Copy size=2788992	1772					23739
5			6001418.136	6001504.094	#00fff6	1.0	Copy size=779840	1797					23745
5			6002087.835	6007945.895	#00fff6	1.0	Copy size=82560	1797					23747
4			6002101.879	6031333.314	#00fff6	1.0	Copy size=697248	1798					23749
3			6007046.311	6007473.45	#00fff6	1.0	Copy size=3119360	1797					23746
5			6011697.143	6031711.61	#00fff6	1.0	Copy size=330240	1797					7505
3			6012723.233	6059377.417	#00fff6	1.0	Copy size=2788992	1798					23750
5			6104204.004	6104333.359	#00fff6	1.0	Copy size=779840	1823					23754
5			6104925.91	6110812.351	#00fff6	1.0	Copy size=82560	1823					23756
4			6104939.174	6132377.475	#00fff6	1.0	Copy size=697248	1824					23759
3			6109698.689	6110165.373	#00fff6	1.0	Copy size=3119360	1823					23755
5			6114369.458	6132297.823	#00fff6	1.0	Copy size=330240	1823					23758
3			6114591.588	6151913.672	#00fff6	1.0	Copy size=2788992	1824					23760
