time	count
0.00	0.00
2474972.95	1.00
2475008.91	0.00
2475033.20	1.00
2475104.79	0.00
2475111.62	1.00
2475221.46	0.00
2475226.51	1.00
2475231.22	0.00
2475700.91	1.00
2475799.67	0.00
2475809.86	1.00
2475902.93	0.00
2475912.37	1.00
2475917.73	0.00
2475922.06	1.00
2476515.69	0.00
2476521.82	1.00
2476530.78	0.00
2476620.52	1.00
2476625.12	0.00
2476632.90	1.00
2476642.36	0.00
2476647.05	1.00
2476663.49	0.00
2476668.56	1.00
2476715.36	0.00
2476735.32	1.00
2476771.52	0.00
2476777.33	1.00
2476778.75	0.00
2578359.81	1.00
2578371.69	0.00
2578378.51	1.00
2578381.35	0.00
2578388.98	1.00
2578454.48	0.00
2578458.40	1.00
2578463.40	0.00
2578465.45	1.00
2578465.90	0.00
2578467.67	1.00
2578522.40	0.00
2578551.84	1.00
2578556.20	0.00
2578581.20	1.00
2578810.63	0.00
2578819.91	1.00
2578823.36	0.00
2578828.32	1.00
2578915.15	0.00
2578921.61	1.00
2578922.66	0.00
2584471.53	1.00
2584482.66	0.00
2584494.57	1.00
2584495.72	0.00
2584498.46	1.00
2584508.33	0.00
2584513.50	1.00
2584514.70	0.00
2594914.93	1.00
2594939.42	0.00
2594946.98	1.00
2594991.01	0.00
2595001.48	1.00
2595016.33	0.00
2595021.37	1.00
2595067.09	0.00
2595081.96	1.00
2595087.70	0.00
2595093.97	1.00
2595096.94	0.00
2595141.59	1.00
2595146.55	0.00
2595154.00	1.00
2595168.73	0.00
2595175.40	1.00
2595177.27	0.00
2595180.18	1.00
2595181.64	0.00
2595213.45	1.00
2595218.30	0.00
2595221.35	1.00
2595223.13	0.00
2595225.73	1.00
2595261.56	0.00
2595267.27	1.00
2595270.26	0.00
2595274.68	1.00
2595313.88	0.00
2595319.27	1.00
2595328.65	0.00
2595332.81	1.00
2595345.61	0.00
2595352.95	1.00
2595356.48	0.00
2595359.75	1.00
2595363.18	0.00
2595380.60	1.00
2595384.13	0.00
2595387.16	1.00
2595388.66	0.00
2595390.66	1.00
2595477.55	0.00
2595480.90	1.00
2595534.65	0.00
2595541.01	1.00
2595548.07	0.00
2595552.51	1.00
2595560.97	0.00
2595565.67	1.00
2595592.28	0.00
2595598.03	1.00
2595602.02	0.00
2595606.77	1.00
2595610.73	0.00
2595615.26	1.00
2595676.97	0.00
2595682.71	1.00
2595696.53	0.00
2595701.21	1.00
2595718.79	0.00
2595785.95	1.00
2595791.10	0.00
2595804.06	1.00
2595808.66	0.00
2595815.86	1.00
2595817.07	0.00
2595822.22	1.00
2595823.65	0.00
2597934.71	1.00
2598012.19	0.00
2598024.63	1.00
2598046.96	0.00
2598053.52	1.00
2598057.92	0.00
2598060.54	1.00
2598067.28	0.00
2598072.13	1.00
2598094.72	0.00
2598100.56	1.00
2598101.97	0.00
2599454.25	1.00
2599475.45	0.00
2599482.27	1.00
2599483.73	0.00
2599495.99	1.00
2599509.86	0.00
2599517.32	1.00
2599521.56	0.00
2599529.78	1.00
2599536.37	0.00
2599543.51	1.00
2599558.93	0.00
2599563.87	1.00
2599564.91	0.00
2600910.07	1.00
2600932.23	0.00
2600938.84	1.00
2600940.81	0.00
2600955.36	1.00
2600968.94	0.00
2600975.65	1.00
2600979.92	0.00
2600982.15	1.00
2600989.79	0.00
2600992.76	1.00
2601014.01	0.00
2601019.45	1.00
2601020.22	0.00
2602347.41	1.00
2602366.93	0.00
2602373.81	1.00
2602375.23	0.00
2602386.07	1.00
2602399.58	0.00
2602405.74	1.00
2602409.88	0.00
2602414.97	1.00
2602421.87	0.00
2602426.48	1.00
2602441.67	0.00
2602446.85	1.00
2602447.92	0.00
2603910.45	1.00
2603947.42	0.00
2603954.01	1.00
2603955.32	0.00
2603966.52	1.00
2603979.94	0.00
2603986.92	1.00
2603991.25	0.00
2603995.94	1.00
2604002.73	0.00
2604007.49	1.00
2604028.54	0.00
2604033.36	1.00
2604034.23	0.00
2605435.12	1.00
2605452.24	0.00
2605458.97	1.00
2605460.45	0.00
2605462.13	1.00
2605462.85	0.00
2605474.36	1.00
2605488.11	0.00
2605494.32	1.00
2605498.57	0.00
2605501.01	1.00
2605507.20	0.00
2605509.76	1.00
2605536.54	0.00
2605542.73	1.00
2605543.49	0.00
2607080.44	1.00
2607097.43	0.00
2607104.17	1.00
2607105.56	0.00
2607107.17	1.00
2607107.70	0.00
2607119.07	1.00
2607133.02	0.00
2607139.62	1.00
2607143.95	0.00
2607149.82	1.00
2607156.55	0.00
2607161.62	1.00
2607177.22	0.00
2607182.35	1.00
2607183.39	0.00
2607279.64	1.00
2607285.09	0.00
2607287.47	1.00
2607299.53	0.00
2607302.95	1.00
2607310.65	0.00
2607313.76	1.00
2607317.03	0.00
2607324.18	1.00
2607329.44	0.00
2607334.25	1.00
2607345.10	0.00
2607349.80	1.00
2607350.59	0.00
2607493.54	1.00
2607494.05	0.00
2607495.68	1.00
2607502.80	0.00
2607505.58	1.00
2607506.22	0.00
2607514.49	1.00
2607521.79	0.00
2607532.21	1.00
2607535.08	0.00
2607539.64	1.00
2607544.97	0.00
2607549.32	1.00
2607563.81	0.00
2607568.45	1.00
2607569.45	0.00
2607623.65	1.00
2607624.29	0.00
2607625.84	1.00
2607639.40	0.00
2607642.36	1.00
2607643.86	0.00
2607645.09	1.00
2607652.06	0.00
2607657.20	1.00
2607659.86	0.00
2607664.10	1.00
2607670.19	0.00
2607674.48	1.00
2607684.12	0.00
2607688.68	1.00
2607689.35	0.00
2608234.89	1.00
2608252.88	0.00
2608261.76	1.00
2608274.89	0.00
2608281.84	1.00
2608286.21	0.00
2608291.01	1.00
2608297.47	0.00
2608302.25	1.00
2608317.36	0.00
2608323.13	1.00
2608324.53	0.00
2609577.80	1.00
2609595.25	0.00
2609604.90	1.00
2609618.16	0.00
2609624.89	1.00
2609629.32	0.00
2609634.15	1.00
2609641.66	0.00
2609646.16	1.00
2609661.88	0.00
2609666.95	1.00
2609672.98	0.00
2610705.01	1.00
2610722.20	0.00
2610730.89	1.00
2610744.03	0.00
2610751.57	1.00
2610757.58	0.00
2610762.56	1.00
2610769.20	0.00
2610773.79	1.00
2610789.59	0.00
2610794.75	1.00
2610795.70	0.00
2610892.25	1.00
2610893.21	0.00
2610894.73	1.00
2610905.22	0.00
2610908.04	1.00
2610909.72	0.00
2610912.93	1.00
2610920.37	0.00
2610925.44	1.00
2610928.25	0.00
2610930.29	1.00
2610936.34	0.00
2610941.17	1.00
2610956.61	0.00
2610961.36	1.00
2610961.95	0.00
2613633.46	1.00
2613657.55	0.00
2613664.33	1.00
2613665.89	0.00
2613676.75	1.00
2613689.89	0.00
2613695.87	1.00
2613699.97	0.00
2613704.51	1.00
2613711.40	0.00
2613713.53	1.00
2613728.59	0.00
2613733.65	1.00
2613734.51	0.00
2615252.97	1.00
2615270.38	0.00
2615277.32	1.00
2615290.50	0.00
2615297.73	1.00
2615302.15	0.00
2615306.93	1.00
2615313.48	0.00
2615317.98	1.00
2615334.10	0.00
2615339.30	1.00
2615340.42	0.00
2617473.11	1.00
2617496.68	0.00
2617504.54	1.00
2617506.39	0.00
2617507.98	1.00
2617508.51	0.00
2617522.16	1.00
