level	level_ready	ready	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
8	10	508042.747	508097.187	508127.898	#ff8c00	1.0	Deferred Enqueue Task	1					2244
8	9	508126.277	508154.536	508229.63	#ca00ff	1.0	Scheduler	0					2246
8	10	508227.17	508238.415	508371.85	#00fcff	1.0	Task Physical Dependence Analysis	1					24306
8	10	508384.406	508384.406	508385.446	#FFC0CB	1.0	ProfTask <1>						26767
8	10	508853.79	508886.516	508981.876	#ff2300	1.0	Logical Dependence Analysis	3					2247
8	9	508979.769	508993.812	509075.592	#333399	1.0	Deferred Ready Trigger	3					2248
8	9	508841.777	509083.37	509088.136	#ff4a00	1.0	Prepipeline Stage	3					2249
8	10	509094.171	509094.171	509417.121	#ff0800	1.0	Operation Physical Dependence Analysis	3					24307
8	10	509417.121	509417.121	509432.716	#ff0800	0.15	Operation Physical Dependence Analysis (waiting)	3					24307
8	10	509432.716	509432.716	509451.358	#ff0800	0.45	Operation Physical Dependence Analysis (ready)	3					24307
8	10	509451.358	509451.358	509737.246	#ff0800	1.0	Operation Physical Dependence Analysis	3					24307
7	9	509133.7	509133.7	509573.511	#5500ff	1.0	Mapper Call map_inline for 3	3					26762
8	10	509745.724	509745.724	509748.193	#FFC0CB	1.0	ProfTask <3>						26769
8	10	509837.122	509839.24	509855.846	#ff2300	1.0	Logical Dependence Analysis	4					2250
8	9	509854.685	509863.956	509883.959	#333399	1.0	Deferred Ready Trigger	4					2251
8	9	509830.445	509891.484	509892.266	#ff4a00	1.0	Prepipeline Stage	4					32963
8	10	509897.385	509897.385	509943.785	#ff0800	1.0	Operation Physical Dependence Analysis	4					24308
8	10	509943.785	509943.785	509958.205	#ff0800	0.15	Operation Physical Dependence Analysis (waiting)	4					24308
8	10	509958.205	509958.205	509961.868	#ff0800	0.45	Operation Physical Dependence Analysis (ready)	4					24308
8	10	509961.868	509961.868	509998.501	#ff0800	1.0	Operation Physical Dependence Analysis	4					24308
