level	level_ready	ready	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
4			4015256.947	4036139.474	#00fff6	1.0	Copy size=68928	1737					33694
3			4015287.331	4043459.871	#00fff6	1.0	Copy size=64960	1736					33695
4			4043526.602	4045598.233	#00fff6	1.0	Copy size=992	1737					8878
6			4060074.323	4072620.625	#00fff6	1.0	Copy size=3968	1737					33698
6			4137232.006	4190895.83	#00fff6	1.0	Copy size=259840	1769					33707
5			4137235.193	4215795.051	#00fff6	1.0	Copy size=275712	1770					33711
4			4142459.802	4172984.401	#00fff6	1.0	Copy size=31232	1770					33706
3			4172837.27	4190976.249	#00fff6	1.0	Copy size=7808	1770					26459
4			4173041.021	4192569.474	#00fff6	1.0	Copy size=68928	1770					8881
2			4190438.106	4196704.741	#00fff6	1.0	Copy size=64960	1769					33709
6			4190971.087	4194603.992	#00fff6	1.0	Copy size=3968	1770					33708
6			4196770.648	4208310.665	#00fff6	1.0	Copy size=992	1770					33710
6			4271402.83	4330459.816	#00fff6	1.0	Copy size=259840	1802					33719
5			4271405.82	4355883.262	#00fff6	1.0	Copy size=275712	1803					33723
4			4274122.761	4302879.721	#00fff6	1.0	Copy size=31232	1803					33718
4			4307320.737	4332517.17	#00fff6	1.0	Copy size=68928	1803					33721
3			4330444.387	4336077.446	#00fff6	1.0	Copy size=64960	1802					33722
6			4330509.767	4331932.613	#00fff6	1.0	Copy size=3968	1803					33720
2			4330529.526	4347682.089	#00fff6	1.0	Copy size=7808	1803					8884
6			4336146.259	4351402.251	#00fff6	1.0	Copy size=992	1803					26465
6			4380188.069	4384850.525	#00fff6	1.0	Copy size=68928	1843					33724
6			4399585.085	4412145.386	#00fff6	1.0	Copy size=64960	1842					33726
5			4404536.625	4414437.12	#00fff6	1.0	Copy size=7808	1843					33728
6			4412206.93	4413968.508	#00fff6	1.0	Copy size=992	1843					33727
6			4424937.597	4473243.005	#00fff6	1.0	Copy size=259840	1842					33734
5			4424940.454	4496098.531	#00fff6	1.0	Copy size=275712	1843					33737
4			4449149.272	4489940.453	#00fff6	1.0	Copy size=31232	1843					33735
6			4473314.212	4490339.485	#00fff6	1.0	Copy size=3968	1843					33736
6			4546804.601	4557785.484	#00fff6	1.0	Copy size=31232	1876					8888
6			4567643.547	4609866.465	#00fff6	1.0	Copy size=275712	1876					33745
5			4567646.62	4624603.316	#00fff6	1.0	Copy size=259840	1875					33747
4			4571427.616	4592395.17	#00fff6	1.0	Copy size=7808	1876					33743
3			4576633.512	4599394.381	#00fff6	1.0	Copy size=68928	1876					33744
4			4596950.147	4605642.867	#00fff6	1.0	Copy size=64960	1875					8891
4			4605699.302	4610907.943	#00fff6	1.0	Copy size=992	1876					33746
6			4624651.346	4636059.826	#00fff6	1.0	Copy size=3968	1876					33748
6			4685002.87	4697053.112	#00fff6	1.0	Copy size=31232	1909					26481
6			4703622.74	4754018.636	#00fff6	1.0	Copy size=259840	1908					33754
5			4703626.029	4760023.839	#00fff6	1.0	Copy size=275712	1909					33756
4			4708117.874	4731794.762	#00fff6	1.0	Copy size=68928	1909					33753
4			4753563.409	4763672.732	#00fff6	1.0	Copy size=64960	1908					8896
6			4754086.561	4755134.83	#00fff6	1.0	Copy size=3968	1909					33755
3			4754094.855	4774938.291	#00fff6	1.0	Copy size=7808	1909					33757
6			4763722.496	4775169.112	#00fff6	1.0	Copy size=992	1909					26483
6			4833021.63	4901073.416	#00fff6	1.0	Copy size=259840	1941					33766
5			4833024.552	4919795.345	#00fff6	1.0	Copy size=275712	1942					33767
4			4836014.821	4846907.516	#00fff6	1.0	Copy size=31232	1942					33761
4			4856270.572	4880168.75	#00fff6	1.0	Copy size=68928	1942					33763
3			4878201.102	4886064.898	#00fff6	1.0	Copy size=64960	1941					33764
2			4878471.322	4888573.09	#00fff6	1.0	Copy size=7808	1942					8900
4			4886134.266	4888186.212	#00fff6	1.0	Copy size=992	1942					33765
6			4901141.965	4916515.091	#00fff6	1.0	Copy size=3968	1942					26490
