level	level_ready	ready	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
9			2566757.645	4936286.458	#00fff6	1.0	Region:ispace:1[32494:48738] x Point[localID$,flag_1]$Layout Order:[Struct-of-arrays (SOA)] $Inst: 0x6000000000010000 $Size: 126.914 KiB	1426					8906
8			2566852.227	4936304.89	#00fff6	1.0	Region:ispace:1[32494:48738] x Point[flux_res]$Layout Order:[Struct-of-arrays (SOA)] $Inst: 0x6000000000010001 $Size: 507.656 KiB	1426					8907
7			2566901.788	4936367.714	#00fff6	1.0	Region:ispace:1[1:480] x Point[x,y,nx,ny,q$,dq0,dq1,xpos_conn,xneg_conn,ypos_conn,yneg_conn$,min_dist,minq,maxq]$Layout Order:[Struct-of-arrays (SOA)] $Inst: 0x6000000000010002 $Size: 24.170 MiB	1426					8910
6			2568196.158	4936186.189	#00fff6	1.0	Region:ispace:1[0:16246] x Point[localID,flag_1$]$Layout Order:[Struct-of-arrays (SOA)] $Inst: 0x6000000000010003 $Size: 126.930 KiB	1424					8902
5			2568386.501	4936249.52	#00fff6	1.0	Region:ispace:1[16247:32493] x Point[localID$,flag_1]$Layout Order:[Struct-of-arrays (SOA)] $Inst: 0x6000000000010004 $Size: 126.930 KiB	1425					8904
4			2568480.324	4936232.002	#00fff6	1.0	Region:ispace:1[0:16246] x Point[flux_res]$Layout Order:[Struct-of-arrays (SOA)] $Inst: 0x6000000000010005 $Size: 507.719 KiB	1424					8903
3			2568547.349	4936267.376	#00fff6	1.0	Region:ispace:1[16247:32493] x Point[flux_res]$Layout Order:[Struct-of-arrays (SOA)] $Inst: 0x6000000000010006 $Size: 507.719 KiB	1425					8905
2			2568590.394	4936323.714	#00fff6	1.0	Region:ispace:1[0:16250] x Point[x,y,nx,ny$,q,dq0,dq1,xpos_conn,xneg_conn,ypos_conn,yneg_conn$,min_dist,minq,maxq]$Layout Order:[Struct-of-arrays (SOA)] $Inst: 0x6000000000010007 $Size: 22.840 MiB	1424					8908
1			2569092.645	4936346.241	#00fff6	1.0	Region:ispace:1[479:680] x Point[x,y,nx,ny$,q,dq0,dq1,xpos_conn,xneg_conn,ypos_conn,yneg_conn$,min_dist,minq,maxq]$Layout Order:[Struct-of-arrays (SOA)] $Inst: 0x6000000000010008 $Size: 24.166 MiB	1425					8909
