time	count
663359.78	0.50
663361.08	0.00
663370.57	0.50
663370.89	0.00
663384.43	0.50
663384.95	0.00
663405.88	0.50
663406.22	0.00
664814.54	0.50
664821.16	0.00
664844.73	0.50
664865.45	0.00
664884.03	0.50
664893.30	0.00
664896.46	0.50
664897.64	0.00
664908.33	0.50
664908.99	0.00
664935.66	0.50
664936.01	0.00
666463.28	0.50
666464.76	0.00
666535.73	0.50
666557.36	0.00
666576.51	0.50
666577.79	0.00
666586.45	0.50
666586.95	0.00
666602.19	0.50
666611.75	0.00
666623.65	0.50
666623.97	0.00
666728.02	0.50
666738.74	0.00
666753.90	0.50
666754.61	0.00
666764.10	0.50
666764.42	0.00
666775.10	0.50
666775.44	0.00
666792.42	0.50
666792.83	0.00
666882.05	0.50
666890.11	0.00
666902.85	0.50
666908.33	0.00
666910.76	0.50
666911.01	0.00
666923.00	0.50
666923.51	0.00
666940.39	0.50
666940.72	0.00
668105.76	0.50
668106.46	0.00
668158.06	0.50
668166.30	0.00
668175.28	0.50
668175.78	0.00
668196.61	0.50
668201.22	0.00
668209.27	0.50
668209.56	0.00
668222.63	0.50
668222.95	0.00
668244.44	0.50
668244.86	0.00
669285.86	0.50
669286.42	0.00
669335.98	0.50
669343.70	0.00
669352.74	0.50
669357.07	0.00
669374.59	0.50
669374.89	0.00
669388.44	0.50
669388.83	0.00
669401.64	0.50
669402.00	0.00
669423.10	0.50
669423.44	0.00
669533.95	0.50
669545.06	0.00
669557.89	0.50
669558.56	0.00
669568.58	0.50
669573.52	0.00
669581.33	0.50
669581.62	0.00
669604.07	0.50
669604.51	0.00
672202.23	0.50
672203.13	0.00
672253.41	0.50
672266.18	0.00
672267.79	0.50
672268.28	0.00
672291.50	0.50
672292.05	0.00
672304.27	0.50
672304.66	0.00
672317.93	0.50
672318.26	0.00
672339.78	0.50
672343.73	0.00
673855.31	0.50
673856.82	0.00
673904.46	0.50
673926.53	0.00
673944.80	0.50
673946.30	0.00
673954.89	0.50
673955.26	0.00
673969.58	0.50
673969.93	0.00
673990.75	0.50
674018.42	0.00
676076.49	0.50
676078.57	0.00
676131.54	0.50
676154.71	0.00
676172.75	0.50
676174.03	0.00
676183.38	0.50
676183.67	0.00
676197.14	0.50
676197.67	0.00
676218.74	0.50
676219.06	0.00
677941.63	0.50
677943.08	0.00
677996.24	0.50
678017.25	0.00
678035.64	0.50
678044.90	0.00
678048.53	0.50
678058.09	1.00
678058.30	0.50
678058.73	0.00
678104.70	0.50
678105.04	0.00
679398.96	0.50
679400.45	0.00
679452.94	0.50
679474.01	0.00
679493.35	0.50
679494.57	0.00
679509.85	0.50
679510.48	0.00
679523.85	0.50
679524.20	0.00
679545.55	0.50
679571.10	0.00
680855.80	0.50
680857.64	0.00
680908.60	0.50
680929.34	0.00
680946.89	0.50
680948.30	0.00
680957.65	0.50
680958.04	0.00
680970.98	0.50
680971.31	0.00
680992.74	0.50
680993.15	0.00
682473.14	0.50
682474.59	0.00
682542.29	0.50
682565.25	0.00
682584.01	0.50
682593.65	0.00
682596.64	0.50
682597.74	0.00
682608.26	0.50
682616.06	0.00
682634.45	0.50
682634.85	0.00
684010.42	0.50
684011.90	0.00
684061.72	0.50
684082.92	0.00
684101.83	0.50
684103.28	0.00
684112.97	0.50
684113.33	0.00
684126.19	0.50
684126.52	0.00
684153.99	0.50
684181.20	0.00
685482.04	0.50
685483.61	0.00
685553.23	0.50
685579.02	0.00
685600.51	0.50
685601.83	0.00
685611.91	0.50
685612.25	0.00
685626.05	0.50
685626.69	0.00
685647.87	0.50
685648.23	0.00
686963.67	0.50
686965.12	0.00
687015.15	0.50
687037.36	0.00
687056.19	0.50
687057.44	0.00
687066.57	0.50
687075.40	0.00
687077.96	0.50
687078.20	0.00
687099.73	0.50
687100.04	0.00
688491.00	0.50
688492.45	0.00
688561.06	0.50
688583.88	0.00
688603.54	0.50
688605.01	0.00
688613.56	0.50
688613.94	0.00
688627.30	0.50
688636.03	0.00
688657.40	0.50
688657.86	0.00
690015.17	0.50
690016.76	0.00
690067.39	0.50
690094.92	0.00
690117.39	0.50
690119.00	0.00
690128.02	0.50
690128.36	0.00
690142.35	0.50
690142.89	0.00
690165.77	0.50
690166.12	0.00
691708.17	0.50
691718.80	0.00
691735.50	0.50
691760.64	0.00
691778.33	0.50
691779.24	0.00
691790.06	0.50
691790.62	0.00
691804.64	0.50
691804.99	0.00
691825.68	0.50
691825.99	0.00
691950.83	0.50
691959.00	0.00
691973.04	0.50
691979.42	0.00
691982.07	0.50
691982.34	0.00
691993.11	0.50
691993.47	0.00
692010.80	0.50
692011.21	0.00
692101.34	0.50
692110.95	0.00
692112.60	0.50
692113.03	0.00
692123.72	0.50
692124.19	0.00
692134.47	0.50
692139.25	0.00
692141.30	0.50
692141.51	0.00
692160.91	0.50
692161.26	0.00
693328.46	0.50
693329.07	0.00
693379.08	0.50
693385.63	0.00
693399.06	0.50
693399.72	0.00
693420.47	0.50
693420.80	0.00
693433.76	0.50
693438.79	0.00
693447.24	0.50
693447.60	0.00
693469.05	0.50
693469.33	0.00
694520.64	0.50
694521.68	0.00
694566.45	0.50
694575.04	0.00
694582.86	0.50
694587.57	0.00
694604.45	0.50
694604.94	0.00
694617.01	0.50
694617.32	0.00
694630.74	0.50
694631.08	0.00
694652.30	0.50
694652.82	0.00
694766.82	0.50
694774.27	0.00
694788.45	0.50
694788.91	0.00
694798.68	0.50
694803.42	0.00
694811.72	0.50
694812.10	0.00
694835.12	0.50
694835.46	0.00
697575.92	0.50
697577.56	0.00
697601.62	0.50
697626.62	0.00
697644.35	0.50
697645.27	0.00
697656.80	0.50
697665.64	0.00
697668.04	0.50
697668.35	0.00
697690.09	0.50
697690.42	0.00
699178.59	0.50
699185.16	0.00
699232.82	0.50
699260.72	0.00
699278.77	0.50
699280.17	0.00
699290.42	0.50
699290.77	0.00
699304.64	0.50
699304.95	0.00
699325.93	0.50
699352.93	0.00
701382.09	0.50
701383.56	0.00
701437.49	0.50
701458.45	0.00
701478.38	0.50
701479.66	0.00
701488.54	0.50
701488.86	0.00
701509.51	0.50
701510.13	0.00
701538.06	0.50
701538.40	0.00
703249.00	0.50
703250.54	0.00
703298.30	0.50
703320.29	0.00
703339.01	0.50
703348.45	0.00
703351.64	0.50
703353.04	0.00
703363.64	0.50
703369.01	0.00
703390.06	0.50
703390.72	0.00
704705.03	0.50
704706.64	0.00
704731.88	0.50
704758.85	0.00
704775.90	0.50
704776.79	0.00
704788.02	0.50
704788.35	0.00
704801.88	0.50
704802.44	0.00
704823.97	0.50
704849.94	0.00
706134.84	0.50
706135.79	0.00
706185.13	0.50
706195.62	0.00
706197.34	0.50
706197.86	0.00
706221.48	0.50
706222.06	0.00
706233.85	0.50
706234.17	0.00
706247.49	0.50
706252.87	0.00
706270.52	0.50
706270.92	0.00
707781.06	0.50
707782.68	0.00
707808.95	0.50
707828.43	0.00
707847.77	0.50
707848.73	0.00
707859.07	0.50
707859.39	0.00
707873.04	0.50
707881.78	0.00
707896.42	0.50
707897.08	0.00
709287.46	0.50
709288.91	0.00
709337.18	0.50
709357.94	0.00
709377.59	0.50
709378.90	0.00
709388.52	0.50
709389.11	0.00
709401.59	0.50
709401.94	0.00
709428.87	0.50
709429.19	0.00
710766.90	0.50
710768.50	0.00
710793.72	0.50
710813.30	0.00
710830.84	0.50
710841.49	0.00
710845.55	0.50
710847.12	0.00
710852.04	0.50
710852.68	0.00
710876.97	0.50
710877.40	0.00
712239.98	0.50
712241.44	0.00
712289.01	0.50
712310.99	0.00
712329.81	0.50
712331.04	0.00
712340.60	0.50
712341.15	0.00
712353.52	0.50
712353.86	0.00
712374.56	0.50
712400.27	0.00
713786.28	0.50
713788.23	0.00
713814.00	0.50
713844.08	0.00
713861.69	0.50
713862.72	0.00
713873.19	0.50
713873.54	0.00
713886.99	0.50
713887.32	0.00
713908.99	0.50
713935.35	0.00
715310.47	0.50
715313.73	0.00
715364.57	0.50
715391.26	0.00
715410.49	0.50
715411.73	0.00
715420.71	0.50
715421.05	0.00
715434.73	0.50
715435.27	0.00
715463.69	0.50
715464.04	0.00
716957.94	0.50
716962.70	0.00
717012.59	0.50
717033.47	0.00
717053.42	0.50
717054.64	0.00
717064.24	0.50
717072.95	0.00
717075.80	0.50
717076.06	0.00
717097.69	0.50
717098.04	0.00
717218.27	0.50
717231.86	0.00
717248.19	0.50
717248.92	0.00
717259.46	0.50
717259.79	0.00
717271.30	0.50
717276.58	0.00
717289.60	0.50
717290.04	0.00
717418.78	0.50
717453.37	1.00
717453.55	0.50
717454.89	0.00
717464.17	0.50
717465.16	0.00
717475.85	0.50
717476.20	0.00
717487.67	0.50
717488.27	0.00
718032.27	0.50
718033.02	0.00
718081.19	0.50
718089.46	0.00
718091.88	0.50
718092.46	0.00
718115.82	0.50
718116.21	0.00
718128.39	0.50
718133.85	0.00
718141.70	0.50
718142.05	0.00
718163.20	0.50
718163.52	0.00
718274.05	0.50
718281.02	0.00
718282.62	0.50
718283.15	0.00
718294.86	0.50
718295.52	0.00
718306.01	0.50
718306.34	0.00
718317.69	0.50
718322.51	0.00
718344.61	0.50
718344.96	0.00
719457.85	0.50
719458.45	0.00
719527.84	0.50
719536.58	0.00
719557.48	0.50
719558.09	0.00
719569.40	0.50
719569.84	0.00
719582.85	0.50
719588.14	0.00
719606.86	0.50
719607.17	0.00
720687.92	0.50
720689.90	0.00
720716.65	0.50
720741.98	0.00
720759.10	0.50
720760.39	0.00
720771.32	0.50
720771.66	0.00
720785.07	0.50
720785.39	0.00
720808.72	0.50
720835.59	0.00
720916.46	0.50
720926.12	0.00
720940.04	0.50
720940.60	0.00
720949.88	0.50
720950.23	0.00
720962.26	0.50
720962.74	0.00
720985.90	0.50
720986.23	0.00
723724.67	0.50
723734.67	0.00
723751.96	0.50
723777.03	0.00
723794.59	0.50
723795.54	0.00
723806.15	0.50
723806.74	0.00
723839.96	0.50
723840.34	0.00
723862.52	0.50
723862.85	0.00
725311.46	0.50
725311.99	0.00
725362.94	0.50
725372.03	0.00
725374.42	0.50
725379.79	0.00
725399.11	0.50
725399.48	0.00
725411.45	0.50
725411.75	0.00
725425.40	0.50
725425.78	0.00
725448.61	0.50
725448.97	0.00
727559.69	0.50
727569.80	0.00
727588.52	0.50
727608.05	0.00
727626.33	0.50
727627.37	0.00
727637.59	0.50
727638.18	0.00
727651.52	0.50
727651.85	0.00
727673.50	0.50
727673.93	0.00
729412.33	0.50
729413.89	0.00
729444.03	0.50
729464.29	0.00
