level	level_ready	ready	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
2	3	17623.037	17623.037	17636.882	#FFC0CB	1.0	ProfTask <1>						7360
2	3	17647.469	17647.469	17648.376	#FFC0CB	1.0	ProfTask						7362
2	3	17761.317	17761.317	18306.486	#d0ff00	1.0	main [primary] <1>						2907
2	3	18306.486	18306.486	19120.159	#d0ff00	0.15	main [primary] <1> (waiting)						2907
2	3	19120.159	19120.159	19134.02	#d0ff00	0.45	main [primary] <1> (ready)						2907
2	3	19134.02	19134.02	19283.677	#d0ff00	1.0	main [primary] <1>						2907
2	3	19283.677	19283.677	19407.77	#d0ff00	0.15	main [primary] <1> (waiting)						2907
2	3	19407.77	19407.77	19415.966	#d0ff00	0.45	main [primary] <1> (ready)						2907
2	3	19415.966	19415.966	184190.375	#d0ff00	1.0	main [primary] <1>						2907
2	3	184190.375	184190.375	207611.479	#d0ff00	0.15	main [primary] <1> (waiting)						2907
2	3	207611.479	207611.479	207621.802	#d0ff00	0.45	main [primary] <1> (ready)						2907
2	3	207621.802	207621.802	207709.11	#d0ff00	1.0	main [primary] <1>						2907
2	3	207709.11	207709.11	207837.837	#d0ff00	0.15	main [primary] <1> (waiting)						2907
2	3	207837.837	207837.837	207844.502	#d0ff00	0.45	main [primary] <1> (ready)						2907
2	3	207844.502	207844.502	207961.415	#d0ff00	1.0	main [primary] <1>						2907
2	3	207961.415	207961.415	208079.652	#d0ff00	0.15	main [primary] <1> (waiting)						2907
2	3	208079.652	208079.652	208086.197	#d0ff00	0.45	main [primary] <1> (ready)						2907
2	3	208086.197	208086.197	208106.264	#d0ff00	1.0	main [primary] <1>						2907
2	3	208106.264	208106.264	208236.734	#d0ff00	0.15	main [primary] <1> (waiting)						2907
2	3	208236.734	208236.734	208242.727	#d0ff00	0.45	main [primary] <1> (ready)						2907
2	3	208242.727	208242.727	208257.331	#d0ff00	1.0	main [primary] <1>						2907
2	3	208257.331	208257.331	208325.169	#d0ff00	0.15	main [primary] <1> (waiting)						2907
2	3	208325.169	208325.169	208344.832	#d0ff00	0.45	main [primary] <1> (ready)						2907
2	3	208344.832	208344.832	208355.436	#d0ff00	1.0	main [primary] <1>						2907
2	3	208355.436	208355.436	208409.724	#d0ff00	0.15	main [primary] <1> (waiting)						2907
2	3	208409.724	208409.724	208415.549	#d0ff00	0.45	main [primary] <1> (ready)						2907
2	3	208415.549	208415.549	208425.688	#d0ff00	1.0	main [primary] <1>						2907
2	3	208425.688	208425.688	208477.774	#d0ff00	0.15	main [primary] <1> (waiting)						2907
2	3	208477.774	208477.774	208483.635	#d0ff00	0.45	main [primary] <1> (ready)						2907
2	3	208483.635	208483.635	208499.226	#d0ff00	1.0	main [primary] <1>						2907
2	3	208499.226	208499.226	208571.766	#d0ff00	0.15	main [primary] <1> (waiting)						2907
2	3	208571.766	208571.766	208577.927	#d0ff00	0.45	main [primary] <1> (ready)						2907
