         9600       100000   5.0196755181932894E-006
    0.10000000000000000000E+01   -0.29999999999999999800E-08   1   0    0.11577642896712136977E+01    0.47520277758634027476E+00   -0.13586057759908559163E-02    0.86453765438077179173E+00    0.46995664593829539202E+00    0.14175314428157337332E-01    0.58370945235661511608E-01
    0.99961500000000003130E+00   -0.54681000000000000438E-04   0   0    0.11024907905733887237E+01    0.49496791055320360497E+00    0.70171738794767207770E-01    0.81407666611697582226E+00    0.49578521552965165720E+00    0.58292614901518380321E-02    0.21875028855766626146E+00
    0.99845899999999998542E+00   -0.21847100000000000265E-03   0   0    0.10803526883409406700E+01    0.50621102612003177068E+00    0.71629270948196516189E-01    0.79392784625102297280E+00    0.50763387310143426312E+00    0.24930305287561571603E-02    0.45423954313093907464E-01
    0.99653400000000003089E+00   -0.49064499999999994836E-03   0   0    0.10797996195119750062E+01    0.51192839698196035414E+00    0.72272420458082561878E-01    0.79306651561012020402E+00    0.51341786240240250283E+00    0.28616268008069267736E-02    0.22125229768706535655E-01
    0.99384399999999994968E+00   -0.87000200000000003659E-03   0   0    0.10734290145248497339E+01    0.52214616746440578599E+00    0.73481806151591194665E-01    0.78664890801849174373E+00    0.52392214631737377140E+00    0.27025030522715431935E-02    0.13679885336615568020E-01
    0.99039299999999996782E+00   -0.13548699999999999893E-02   0   0    0.10665633951312636363E+01    0.53345108839863764061E+00    0.74745001777363012652E-01    0.77969107582940355705E+00    0.53555053124711016199E+00    0.26036368978768487104E-02    0.97429378809559541441E-02
    0.98618499999999997829E+00   -0.19431500000000000421E-02   0   0    0.10605954575369367365E+01    0.54327443830874810882E+00    0.75722320319557626100E-01    0.77365225510425872368E+00    0.54565275712118599394E+00    0.25232564508969601569E-02    0.69214632983184750520E-02
    0.98122799999999998910E+00   -0.26323000000000001779E-02   0   0    0.10554791400433103377E+01    0.55223229600232481840E+00    0.76496894496619130543E-01    0.76842611950736383619E+00    0.55485430783444222858E+00    0.25313749823999698307E-02    0.54027294469381689779E-02
    0.97552799999999995073E+00   -0.34193900000000000163E-02   0   0    0.10507382179824455992E+01    0.56025422393770574203E+00    0.77066358105337851025E-01    0.76361272937746904610E+00    0.56309137041415180391E+00    0.25124550641154042019E-02    0.41679621036507033538E-02
    0.96909599999999995745E+00   -0.43011300000000002308E-02   0   0    0.10463453615510369676E+01    0.56776864093500478692E+00    0.77489054086514713715E-01    0.75914545576674696825E+00    0.57080064233005334273E+00    0.25145205998823305649E-02    0.34133090929761517388E-02
    0.96194000000000001727E+00   -0.52738799999999998874E-02   0   0    0.10421774907020460166E+01    0.57477219632644871439E+00    0.77759899034029272835E-01    0.75492054220868176628E+00    0.57797937917154584841E+00    0.25077123064822792742E-02    0.28597829106151943096E-02
    0.95407200000000003115E+00   -0.63337000000000002672E-02   0   0    0.10382683580392508826E+01    0.58133327893941966202E+00    0.77896961744652840065E-01    0.75096042083344072271E+00    0.58469671691706381900E+00    0.25060930589460017615E-02    0.24041114839841340282E-02
    0.94550299999999998235E+00   -0.74763900000000002924E-02   0   0    0.10345527003457801740E+01    0.58749210478325497586E+00    0.77913239852375956729E-01    0.74720543076865686416E+00    0.59099550959200630729E+00    0.24997109276108653297E-02    0.20315072240970986212E-02
    0.93624799999999996913E+00   -0.86975200000000002509E-02   0   0    0.10309932944549413669E+01    0.59323712402543904432E+00    0.77809219929323339415E-01    0.74362560695713797454E+00    0.59686417858544749127E+00    0.24771321655205902346E-02    0.17329704289788991876E-02
    0.92632000000000003226E+00   -0.99924400000000000027E-02   0   0    0.10276099051819407304E+01    0.59864209210824836926E+00    0.77595548474858777599E-01    0.74023038925517758990E+00    0.60237730216564555619E+00    0.24514432749155878888E-02    0.14871201229529392579E-02
    0.91573499999999996568E+00   -0.11356399999999999134E-01   0   0    0.10243834019564306281E+01    0.60374172799395764422E+00    0.77276837553512139900E-01    0.73700008973041108984E+00    0.60757046211941867497E+00    0.24222499406110209463E-02    0.12830532833743217656E-02
    0.90450799999999997869E+00   -0.12784300000000000178E-01   0   0    0.10212913544844035574E+01    0.60855990383244207287E+00    0.76865728114174330932E-01    0.73391327155150087869E+00    0.61246953611521581795E+00    0.23871838800224032262E-02    0.11158099376780568866E-02
    0.89265799999999995151E+00   -0.14271199999999999511E-01   0   0    0.10183072452776806838E+01    0.61312209430609154737E+00    0.76377278952090163489E-01    0.73094488058023654453E+00    0.61710250826852908190E+00    0.23433475559420102741E-02    0.98082303998222502076E-03
    0.88020299999999995766E+00   -0.15811999999999999666E-01   0   0    0.10154284930247041707E+01    0.61745260998859252677E+00    0.75800620250433201064E-01    0.72809049464899189275E+00    0.62149236795823292745E+00    0.22926536873428826624E-02    0.86981357055862713358E-03
    0.86716099999999995962E+00   -0.17401300000000001489E-01   0   0    0.10126318911801552858E+01    0.62157131809580368209E+00    0.75148322210307039182E-01    0.72532838508821695367E+00    0.62566123090931657913E+00    0.22324292782724408646E-02    0.77973065257937223052E-03
    0.85355300000000000615E+00   -0.19033999999999998837E-01   0   0    0.10098816027298394005E+01    0.62550476299987223250E+00    0.74431484243859452610E-01    0.72262560220720939430E+00    0.62963817596520854636E+00    0.21581321445676149295E-02    0.70690934605736833931E-03
    0.83940000000000003499E+00   -0.20704699999999999493E-01   0   0    0.10072958493972345995E+01    0.62933226659147134541E+00    0.73653857833418656664E-01    0.72007311207417012966E+00    0.63350087743773542126E+00    0.21073997677488742752E-02    0.64397324019433690914E-03
